iter	RMSE
0	186856.5305
1	178405.9975
2	171110.9738
3	163349.0451
4	157122.1179
5	150587.3485
6	145106.6356
7	140107.0813
8	135423.9018
9	131042.8395
10	126892.2904
11	123112.9408
12	120127.1386
13	117279.042
14	114429.8808
15	111421.9155
16	109278.0114
17	107038.1364
18	105161.6543
19	103342.5423
20	101618.3079
21	99678.22761
22	98318.73549
23	97060.65178
24	95442.26687
25	94300.60381
26	93175.70156
27	92121.51821
28	90952.62085
29	90178.13853
30	89446.55777
31	88659.41071
32	87987.54349
33	87436.48686
34	86857.15794
35	86344.41773
36	85610.41267
37	85161.03402
38	84853.20963
39	84365.45517
40	83913.94291
41	83565.59859
42	83003.75964
43	82729.43677
44	82404.24722
45	82032.90705
46	81733.77369
47	81470.50557
48	81110.20624
49	80922.22229
50	80644.98123
51	80438.58379
52	80095.79249
53	79840.08171
54	79666.14045
55	79522.35789
56	79356.74591
57	78909.67951
58	78752.90325
59	78559.89764
60	78265.4016
61	78112.3414
62	77737.1597
63	77561.45089
64	77445.92697
65	77081.73777
66	76880.73087
67	76804.20697
68	76615.82271
69	76514.73912
70	76344.09244
71	76152.6233
72	76060.00826
73	75786.85292
74	75673.80082
75	75579.32585
76	75500.63245
77	75185.53863
78	74972.31135
79	74896.69646
80	74776.35495
81	74518.98216
82	74449.02679
83	74348.70986
84	74273.96443
85	74196.65341
86	74134.81658
87	73957.23333
88	73904.15303
89	73841.50273
90	73687.3937
91	73634.38836
92	73528.13161
93	73485.01095
94	73324.16785
95	73258.52734
96	73087.47279
97	73002.36273
98	72821.72267
99	72780.6119
100	72671.90718
101	72628.70173
102	72537.89336
103	72477.84057
104	72301.30062
105	72234.09165
106	72184.11077
107	71999.6311
108	71946.27691
109	71867.95029
110	71804.76865
111	71634.28452
112	71567.93207
113	71537.49984
114	71371.20189
115	71238.94693
116	71183.14075
117	71098.33688
118	70888.33453
119	70840.82854
120	70788.46729
121	70688.60416
122	70649.65746
123	70559.46652
124	70506.39593
125	70468.05044
126	70416.34248
127	70303.80788
128	70165.85312
129	70023.90913
130	70010.75722
131	69856.63546
132	69721.15771
133	69620.00486
134	69574.10717
135	69507.8934
136	69437.05467
137	69325.48673
138	69272.86384
139	69240.00254
140	69204.31269
141	69168.41513
142	69135.02402
143	69087.70059
144	68984.48455
145	68969.52062
146	68889.57995
147	68846.78382
148	68825.93229
149	68799.5043
150	68790.74867
151	68702.35586
152	68670.5948
153	68594.39644
154	68499.90495
155	68478.24888
156	68405.87753
157	68330.72985
158	68295.61391
159	68255.45189
160	68203.99071
161	68055.45163
162	68021.77526
163	68016.42348
164	67957.40362
165	67845.99977
166	67834.55452
167	67824.1384
168	67749.64861
169	67668.76278
170	67559.75855
171	67505.83779
172	67441.71827
173	67417.66411
174	67379.80832
175	67342.9645
176	67329.08133
177	67246.39465
178	67186.66449
179	67116.76413
180	67068.80205
181	67014.33631
182	66908.65428
183	66847.60728
184	66839.01722
185	66779.07815
186	66682.22443
187	66599.45147
188	66590.67188
189	66542.52316
190	66498.76167
191	66465.27085
192	66431.86553
193	66409.8408
194	66370.98614
195	66293.84619
196	66261.42557
197	66231.90228
198	66150.37461
199	66087.33647
200	66016.70996
201	65974.95547
202	65961.44376
203	65929.59581
204	65894.06723
205	65881.41656
206	65851.14713
207	65808.0834
208	65742.19539
209	65712.5725
210	65649.94139
211	65608.21108
212	65571.54448
213	65496.18913
214	65459.23288
215	65453.59639
216	65436.58176
217	65394.3732
218	65366.62114
219	65318.34017
220	65295.09257
221	65250.86351
222	65204.56292
223	65133.2621
224	65063.04649
225	65020.68307
226	64972.50513
227	64933.68999
228	64924.70559
229	64872.42852
230	64839.06945
231	64806.43323
232	64760.716
233	64744.74712
234	64693.98013
235	64653.28369
236	64650.19456
237	64634.66134
238	64568.25883
239	64534.41152
240	64479.72482
241	64448.03553
242	64419.42729
243	64380.95682
244	64339.70957
245	64316.19887
246	64279.55246
247	64215.90813
248	64184.72027
249	64139.98675
250	64086.05738
251	64066.41966
252	64049.11912
253	64044.35442
254	63977.65909
255	63971.76075
256	63965.25446
257	63958.86605
258	63903.86079
259	63841.08901
260	63808.77159
261	63746.35962
262	63709.66091
263	63677.68594
264	63635.03331
265	63573.70024
266	63554.72254
267	63508.83859
268	63472.4161
269	63431.84519
270	63377.92372
271	63345.5987
272	63254.05801
273	63216.93605
274	63190.4084
275	63177.00867
276	63154.8801
277	63128.63088
278	63102.49183
279	63099.56882
280	63026.8927
281	63004.84821
282	62991.16037
283	62946.76241
284	62922.71642
285	62877.32008
286	62874.46008
287	62859.76228
288	62820.27926
289	62804.45266
290	62763.47435
291	62732.33917
292	62726.91048
293	62693.24482
294	62663.41627
295	62637.35965
296	62582.84763
297	62576.39929
298	62530.09528
299	62466.1187
300	62461.061
301	62437.44817
302	62390.63158
303	62368.74725
304	62333.82547
305	62313.28308
306	62294.32071
307	62289.60021
308	62268.40433
309	62241.74816
310	62210.20818
311	62178.85423
312	62175.08941
313	62138.32022
314	62131.60977
315	62127.20748
316	62100.36181
317	62067.77438
318	62044.45158
319	62016.37405
320	61999.32817
321	61982.85438
322	61975.52646
323	61966.34504
324	61927.79184
325	61892.31673
326	61856.60285
327	61843.5752
328	61812.29729
329	61779.56707
330	61757.78834
331	61725.1666
332	61688.92935
333	61648.38123
334	61644.69307
335	61617.0737
336	61592.237
337	61541.15442
338	61493.03773
339	61464.5406
340	61422.32836
341	61400.80867
342	61367.14644
343	61339.36446
344	61312.10151
345	61290.54945
346	61259.0302
347	61241.98616
348	61221.10476
349	61188.64138
350	61157.2751
351	61123.74807
352	61099.70004
353	61070.53317
354	61037.56726
355	60991.12172
356	60966.70019
357	60944.65052
358	60914.21943
359	60891.4896
360	60857.72355
361	60850.38891
362	60821.76265
363	60805.48051
364	60777.23983
365	60750.28109
366	60723.8772
367	60702.75332
368	60688.62761
369	60655.96619
370	60639.62948
371	60607.97316
372	60584.32941
373	60570.15131
374	60518.39962
375	60507.35942
376	60477.57687
377	60442.32265
378	60405.38815
379	60402.25113
380	60367.39337
381	60344.44516
382	60320.90263
383	60300.47068
384	60280.85987
385	60251.94318
386	60223.20309
387	60191.34511
388	60158.42125
389	60131.72069
390	60118.19824
391	60093.08795
392	60066.8344
393	60035.33381
394	60016.06242
395	60010.58151
396	59983.70954
397	59953.0457
398	59916.95747
399	59887.50631
