iter	Passed	Remaining
0	2	943
1	4	952
2	7	931
3	9	984
4	12	1022
5	16	1061
6	18	1043
7	21	1054
8	24	1046
9	26	1036
10	29	1045
11	32	1044
12	34	1034
13	37	1027
14	39	1017
15	42	1017
16	45	1014
17	47	1013
18	50	1002
19	52	1005
20	55	997
21	58	1002
22	60	996
23	63	993
24	65	986
25	68	984
26	70	978
27	73	977
28	76	973
29	79	975
30	81	972
31	84	968
32	86	964
33	89	961
34	92	963
35	94	958
36	97	957
37	100	956
38	103	955
39	105	950
40	108	949
41	111	948
42	114	947
43	116	943
44	119	940
45	121	935
46	124	935
47	126	930
48	129	928
49	132	928
50	135	925
51	137	921
52	140	917
53	142	913
54	145	910
55	147	907
56	150	903
57	152	900
58	155	896
59	157	892
60	160	893
61	163	890
62	166	889
63	168	885
64	171	884
65	174	881
66	176	878
67	179	874
68	181	869
69	184	867
70	186	863
71	189	861
72	191	857
73	194	855
74	196	851
75	199	848
76	201	844
77	204	842
78	206	840
79	209	839
80	212	837
81	216	838
82	218	836
83	222	835
84	225	835
85	229	838
86	232	836
87	235	836
88	238	832
89	240	829
90	243	826
91	246	823
92	248	820
93	251	818
94	253	814
95	256	812
96	259	809
97	261	806
98	264	803
99	267	801
100	269	798
101	272	796
102	274	792
103	277	790
104	280	787
105	283	786
106	285	782
107	288	781
108	291	777
109	293	774
110	296	772
111	299	769
112	301	766
113	304	763
114	307	760
115	309	757
116	312	756
117	314	752
118	317	749
119	319	746
120	322	743
121	325	741
122	327	738
123	330	734
124	333	732
125	335	729
126	338	727
127	340	724
128	343	721
129	346	718
130	348	715
131	350	712
132	353	709
133	355	705
134	358	703
135	360	700
136	363	697
137	366	696
138	369	693
139	372	690
140	374	688
141	377	684
142	379	682
143	382	679
144	385	677
145	387	673
146	390	672
147	393	669
148	395	666
149	398	663
150	400	660
151	403	658
152	405	655
153	408	652
154	411	650
155	414	648
156	416	645
157	419	642
158	421	639
159	424	636
160	426	633
161	429	631
162	432	628
163	434	625
164	437	623
165	439	619
166	442	617
167	444	614
168	447	611
169	450	608
170	452	606
171	455	603
172	458	601
173	461	599
174	463	596
175	466	593
176	468	590
177	470	587
178	473	584
179	476	582
180	479	580
181	481	577
182	484	574
183	487	572
184	489	568
185	492	566
186	494	563
187	497	561
188	499	558
189	502	555
190	505	553
191	508	550
192	510	547
193	513	545
194	516	542
195	518	539
196	521	537
197	523	534
198	526	531
199	528	528
200	531	525
201	534	523
202	536	520
203	539	517
204	541	514
205	544	512
206	546	509
207	549	506
208	551	504
209	553	501
210	556	498
211	559	495
212	561	493
213	564	490
214	567	487
215	569	485
216	571	482
217	574	479
218	576	476
219	579	474
220	582	471
221	584	468
222	587	466
223	589	463
224	592	460
225	595	458
226	598	455
227	600	453
228	603	450
229	606	448
230	608	445
231	611	442
232	614	440
233	617	437
234	619	435
235	622	432
236	624	429
237	627	426
238	629	424
239	632	421
240	634	418
241	637	416
242	640	413
243	643	411
244	646	408
245	648	405
246	651	403
247	653	400
248	656	398
249	658	395
250	661	392
251	664	390
252	667	387
253	669	384
254	671	382
255	674	379
256	676	376
257	679	373
258	681	371
259	684	368
260	686	365
261	689	363
262	692	360
263	695	358
264	697	355
265	700	352
266	703	350
267	706	347
268	708	345
269	711	342
270	714	339
271	716	337
272	719	334
273	722	332
274	724	329
275	727	326
276	729	324
277	732	321
278	734	318
279	737	315
280	739	313
281	742	310
282	744	307
283	747	305
284	749	302
285	752	300
286	755	297
287	757	294
288	760	292
289	762	289
290	765	286
291	768	284
292	770	281
293	773	278
294	776	276
295	778	273
296	781	270
297	783	268
298	786	265
299	789	263
300	791	260
301	794	257
302	796	255
303	799	252
304	802	249
305	805	247
306	807	244
307	810	242
308	812	239
309	815	236
310	818	234
311	820	231
312	823	228
313	825	226
314	828	223
315	830	220
316	833	218
317	835	215
318	838	213
319	841	210
320	843	207
321	846	205
322	848	202
323	851	199
324	853	197
325	855	194
326	858	191
327	860	188
328	863	186
329	865	183
330	868	181
331	870	178
332	873	175
333	876	173
334	878	170
335	881	167
336	884	165
337	886	162
338	889	160
339	891	157
340	894	154
341	897	152
342	899	149
343	902	146
344	905	144
345	907	141
346	910	138
347	912	136
348	915	133
349	918	131
350	920	128
351	923	125
352	925	123
353	928	120
354	931	118
355	933	115
356	936	112
357	938	110
358	941	107
359	944	104
360	947	102
361	949	99
362	951	97
363	954	94
364	957	91
365	959	89
366	961	86
367	964	83
368	967	81
369	970	78
370	973	76
371	976	73
372	978	70
373	981	68
374	983	65
375	986	62
376	988	60
377	991	57
378	993	55
379	996	52
380	998	49
381	1001	47
382	1004	44
383	1006	41
384	1009	39
385	1012	36
386	1014	34
387	1018	31
388	1020	28
389	1023	26
390	1025	23
391	1028	20
392	1031	18
393	1034	15
394	1036	13
395	1039	10
396	1041	7
397	1044	5
398	1046	2
399	1049	0
