date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,day_posted,month_posted,year_posted,mid_price_by_zipcode,price_per_sqft,sqft_lot_per_living,house_age
2014-10-13,221900.0,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,Monday,October,2014,278277.0,188.05084745762713,4.788135593220339,59
2014-12-09,538000.0,3,2,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,Tuesday,December,2014,425000.0,209.3385214007782,2.817898832684825,63
2015-02-25,180000.0,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,Wednesday,February,2015,445000.0,233.76623376623377,12.987012987012987,82
2014-12-09,604000.0,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,Tuesday,December,2014,489950.0,308.16326530612247,2.5510204081632653,49
2015-02-18,510000.0,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,Wednesday,February,2015,642000.0,303.57142857142856,4.809523809523809,28
2014-06-27,257500.0,3,2,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,Friday,June,2014,267475.0,150.14577259475217,3.9760932944606413,19
2015-01-15,291850.0,3,1,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,Thursday,January,2015,265000.0,275.3301886792453,9.16132075471698,52
2015-04-15,229500.0,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,Wednesday,April,2015,305000.0,128.93258426966293,4.196629213483146,55
2015-03-12,323000.0,3,2,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,Thursday,March,2015,342000.0,170.8994708994709,3.4708994708994707,12
2014-05-27,468000.0,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,Tuesday,May,2014,567000.0,403.44827586206895,5.172413793103448,72
2014-10-07,400000.0,3,1,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,Tuesday,October,2014,642000.0,291.97080291970804,7.065693430656935,37
2015-03-12,530000.0,5,2,1810,4850,1,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,Thursday,March,2015,529950.0,292.81767955801104,2.679558011049724,115
2015-01-24,650000.0,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,Saturday,January,2015,395750.0,220.33898305084745,1.694915254237288,36
2014-07-31,395000.0,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,Thursday,July,2014,401250.0,208.994708994709,7.428571428571429,20
2014-05-29,485000.0,4,1,1600,4300,1,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,Thursday,May,2014,550000.0,303.125,2.6875,98
2014-12-05,189000.0,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,Friday,December,2014,235000.0,157.5,8.208333333333334,93
2015-04-24,230000.0,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,Friday,April,2015,267475.0,184.0,7.8192,46
2014-05-14,385000.0,4,1,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,Wednesday,May,2014,375000.0,237.65432098765433,3.074074074074074,67
